id,amount,banco_dest,response_action,creation_date,Columna1,dia,hora
APP-18-286,800000,Banco Estado,SI,15-03-2021 15:30,2,1,15
APP-18-290,150000,Banco Santander Chile,SI,15-03-2021 16:50,2,1,16
APP-18-291,100000,Banco de cr?dito e inversiones (BCI),SI,15-03-2021 16:50,2,1,16
APP-18-295,124000,Banco Estado,SI,15-03-2021 17:20,2,1,17
APP-18-310,100000,Banco de cr?dito e inversiones (BCI),NO,15-03-2021 22:40,2,1,22
APP-18-317,100000,Banco de cr?dito e inversiones (BCI),SI,16-03-2021 0:40,3,2,0
APP-18-323,100000,Banco Santander Chile,SI,16-03-2021 9:10,3,2,9
APP-18-324,180000,Banco Santander Chile,SI,16-03-2021 10:31,3,2,10
APP-18-327,100000,Banco de cr?dito e inversiones (BCI),SI,16-03-2021 11:40,3,2,11
APP-18-333,267600,Banco Santander Chile,SI,16-03-2021 14:30,3,2,14
APP-18-339,101000,Banco Santander Chile,SI,16-03-2021 16:20,3,2,16
APP-18-341,220000,Banco Santander Chile,SI,16-03-2021 17:10,3,2,17
APP-18-342,100000,Banco Estado,SI,16-03-2021 17:10,3,2,17
APP-18-348,100000,Banco de cr?dito e inversiones (BCI),SI,17-03-2021 0:10,4,3,0
APP-18-350,102000,Banco Santander Chile,SI,17-03-2021 3:20,4,3,3
APP-18-351,100000,Banco de cr?dito e inversiones (BCI),SI,17-03-2021 10:02,4,3,10
APP-18-370,142000,Banco Santander Chile,SI,17-03-2021 19:10,4,3,19
APP-18-375,100000,Banco de cr?dito e inversiones (BCI),SI,17-03-2021 22:20,4,3,22
APP-18-377,200000,Banco Santander Chile,SI,17-03-2021 22:30,4,3,22
APP-18-379,324000,Banco Santander Chile,SI,17-03-2021 23:20,4,3,23
APP-18-387,120000,Banco Santander Chile,SI,18-03-2021 0:30,5,4,0
APP-18-388,100000,Banco Estado,SI,18-03-2021 1:10,5,4,1
APP-18-396,150000,Banco Santander Chile,SI,18-03-2021 11:01,5,4,11
APP-18-398,100000,Banco Estado,SI,18-03-2021 11:50,5,4,11
APP-18-410,100000,Tempo Prepago,NO,18-03-2021 15:01,5,4,15
APP-18-412,100000,Tempo Prepago,NO,18-03-2021 16:01,5,4,16
APP-18-419,100000,Banco Estado,SI,18-03-2021 20:02,5,4,20
APP-18-423,150000,Banco Santander Chile,SI,18-03-2021 22:10,5,4,22
APP-18-428,200000,Banco de cr?dito e inversiones (BCI),SI,19-03-2021 0:20,6,5,0
APP-18-430,200000,Banco Santander Chile,SI,19-03-2021 1:20,6,5,1
APP-18-431,270000,Banco Santander Chile,SI,19-03-2021 5:40,6,5,5
APP-18-433,120000,Banco Santander Chile,SI,19-03-2021 8:20,6,5,8
APP-18-443,100000,Banco de cr?dito e inversiones (BCI),SI,19-03-2021 12:50,6,5,12
APP-18-445,100000,Tempo Prepago,NO,19-03-2021 13:21,6,5,13
APP-18-448,200000,Banco Santander Chile,SI,19-03-2021 14:40,6,5,14
APP-18-455,100000,Banco Santander Chile,SI,19-03-2021 17:01,6,5,17
APP-18-461,3000000,Banco Santander Chile,SI,19-03-2021 18:20,6,5,18
APP-18-462,140000,Banco Santander Chile,SI,19-03-2021 18:31,6,5,18
APP-18-466,100000,Banco Ripley,SI,19-03-2021 21:10,6,5,21
APP-18-468,100000,Banco de cr?dito e inversiones (BCI),SI,19-03-2021 22:20,6,5,22
APP-18-470,100000,Banco de cr?dito e inversiones (BCI),NO,20-03-2021 0:20,7,6,0
APP-18-481,850000,Banco Santander Chile,SI,20-03-2021 10:30,7,6,10
APP-18-496,100000,Tempo Prepago,NO,20-03-2021 14:20,7,6,14
APP-18-499,200000,Banco Santander Chile,NO,20-03-2021 15:02,7,6,15
APP-18-513,100000,Banco de cr?dito e inversiones (BCI),SI,20-03-2021 22:40,7,6,22
APP-18-514,250000,Banco de cr?dito e inversiones (BCI),SI,20-03-2021 22:50,7,6,22
APP-18-515,100000,Banco de cr?dito e inversiones (BCI),SI,21-03-2021 0:10,1,0,0
APP-18-523,100000,Banco de cr?dito e inversiones (BCI),SI,21-03-2021 13:30,1,0,13
APP-18-524,100000,Banco de cr?dito e inversiones (BCI),SI,21-03-2021 13:50,1,0,13
APP-18-528,142890,Banco Santander Chile,SI,21-03-2021 15:40,1,0,15
APP-18-530,200000,Banco de cr?dito e inversiones (BCI),SI,21-03-2021 16:20,1,0,16
APP-18-534,100000,Banco de cr?dito e inversiones (BCI),SI,21-03-2021 21:30,1,0,21
APP-18-544,100000,Tempo Prepago,SI,22-03-2021 10:10,2,1,10
APP-18-546,500000,Banco Santander Chile,SI,22-03-2021 10:50,2,1,10
APP-18-548,138000,Banco Santander Chile,SI,22-03-2021 11:02,2,1,11
APP-18-550,173800,Banco Santander Chile,SI,22-03-2021 11:30,2,1,11
APP-18-556,100000,Tempo Prepago,SI,22-03-2021 13:20,2,1,13
APP-18-561,100000,Banco de cr?dito e inversiones (BCI),SI,22-03-2021 16:20,2,1,16
APP-18-570,505000,Banco Santander Chile,SI,22-03-2021 20:40,2,1,20
APP-18-573,100000,Banco de cr?dito e inversiones (BCI),SI,22-03-2021 21:20,2,1,21
APP-18-576,140000,Banco Santander Chile,SI,22-03-2021 21:50,2,1,21
APP-18-583,120000,Banco Santander Chile,SI,22-03-2021 23:20,2,1,23
APP-18-586,656000,Banco Santander Chile,SI,23-03-2021 0:50,3,2,0
APP-18-590,160000,Banco Estado,SI,23-03-2021 6:10,3,2,6
APP-18-591,160000,Banco Santander Chile,SI,23-03-2021 6:50,3,2,6
APP-18-594,100000,Banco de cr?dito e inversiones (BCI),SI,23-03-2021 10:31,3,2,10
APP-18-595,1000000,Banco Santander Chile,SI,23-03-2021 11:40,3,2,11
APP-18-598,100000,Banco Ripley,SI,23-03-2021 12:20,3,2,12
APP-18-600,100000,Banco Santander Chile,SI,23-03-2021 12:31,3,2,12
APP-18-603,460000,Banco Santander Chile,SI,23-03-2021 14:10,3,2,14
APP-18-606,100000,Banco de cr?dito e inversiones (BCI),SI,23-03-2021 15:50,3,2,15
APP-18-609,200000,Banco de cr?dito e inversiones (BCI),SI,23-03-2021 16:20,3,2,16
APP-18-620,108050,Banco Santander Chile,NO,23-03-2021 20:30,3,2,20
APP-18-623,210000,Banco Santander Chile,SI,23-03-2021 21:10,3,2,21
APP-18-626,630000,Banco Estado,SI,23-03-2021 21:30,3,2,21
APP-18-628,250000,Banco Santander Chile,SI,23-03-2021 21:50,3,2,21
APP-18-629,100000,Banco Ripley,SI,23-03-2021 21:50,3,2,21
APP-18-632,100000,Banco de cr?dito e inversiones (BCI),SI,23-03-2021 22:10,3,2,22
APP-18-641,100000,Banco Santander Chile,SI,24-03-2021 2:40,4,3,2
APP-18-644,100000,Banco Ripley,SI,24-03-2021 7:50,4,3,7
APP-18-645,100000,Banco de cr?dito e inversiones (BCI),SI,24-03-2021 8:40,4,3,8
APP-18-656,100000,Banco Santander Chile,SI,24-03-2021 12:01,4,3,12
APP-18-660,193000,Banco Santander Chile,SI,24-03-2021 12:10,4,3,12
APP-18-665,226000,Banco Santander Chile,SI,24-03-2021 12:50,4,3,12
APP-18-670,190000,Banco Santander Chile,SI,24-03-2021 14:10,4,3,14
APP-18-671,100000,Banco Santander Chile,SI,24-03-2021 14:30,4,3,14
APP-18-680,100000,Banco Santander Chile,SI,24-03-2021 17:30,4,3,17
APP-18-689,291000,Banco Santander Chile,SI,24-03-2021 21:01,4,3,21
APP-18-690,194000,Banco Santander Chile,SI,24-03-2021 21:40,4,3,21
APP-18-702,394000,Banco Santander Chile,SI,25-03-2021 9:01,5,4,9
APP-18-704,300000,Banco Santander Chile,SI,25-03-2021 9:40,5,4,9
APP-18-708,101550,Banco Santander Chile,SI,25-03-2021 11:30,5,4,11
APP-18-710,100000,Tempo Prepago,NO,25-03-2021 12:11,5,4,12
APP-18-716,110000,Banco Santander Chile,SI,25-03-2021 12:51,5,4,12
APP-18-719,133000,Banco Santander Chile,SI,25-03-2021 14:03,5,4,14
APP-18-722,230000,Banco de cr?dito e inversiones (BCI),SI,25-03-2021 15:11,5,4,15
APP-18-735,200000,Banco Santander Chile,SI,25-03-2021 18:50,5,4,18
APP-18-749,100000,Banco Santander Chile,SI,25-03-2021 22:21,5,4,22
APP-18-756,100000,Banco Santander Chile,SI,25-03-2021 23:20,5,4,23
APP-18-767,100000,Banco de cr?dito e inversiones (BCI),SI,26-03-2021 7:10,6,5,7
APP-18-773,1000000,Banco Santander Chile,SI,26-03-2021 10:50,6,5,10
APP-18-774,290000,Banco Santander Chile,SI,26-03-2021 11:01,6,5,11
APP-18-791,100000,Banco Santander Chile,SI,26-03-2021 17:50,6,5,17
APP-18-792,100000,Tempo Prepago,SI,26-03-2021 18:10,6,5,18
APP-18-798,300000,Banco Santander Chile,SI,26-03-2021 21:20,6,5,21
APP-18-799,100000,Banco de cr?dito e inversiones (BCI),SI,26-03-2021 22:10,6,5,22
APP-18-800,100000,Banco Santander Chile,SI,26-03-2021 22:30,6,5,22
APP-18-822,100000,Banco de cr?dito e inversiones (BCI),SI,27-03-2021 19:50,7,6,19
APP-18-829,500000,Banco Santander Chile,SI,27-03-2021 21:30,7,6,21
APP-18-834,180000,Banco Estado,SI,27-03-2021 23:50,7,6,23
APP-18-835,100000,Banco de cr?dito e inversiones (BCI),SI,28-03-2021 0:40,1,0,0
APP-18-843,500000,Banco Santander Chile,SI,28-03-2021 13:40,1,0,13
APP-18-846,236500,Banco Santander Chile,SI,28-03-2021 15:40,1,0,15
APP-18-849,100000,Banco de cr?dito e inversiones (BCI),SI,28-03-2021 16:50,1,0,16
APP-18-852,100000,Banco de cr?dito e inversiones (BCI),SI,28-03-2021 19:20,1,0,19
APP-18-853,5000000,Banco Santander Chile,SI,28-03-2021 19:20,1,0,19
APP-18-858,170000,Banco de cr?dito e inversiones (BCI),SI,28-03-2021 20:50,1,0,20
APP-18-871,183000,Banco Santander Chile,SI,29-03-2021 12:10,2,1,12
APP-18-874,100000,Banco Santander Chile,SI,29-03-2021 12:31,2,1,12
APP-18-875,100000,Tempo Prepago,SI,29-03-2021 12:50,2,1,12
APP-18-878,120000,Banco Santander Chile,SI,29-03-2021 14:20,2,1,14
APP-18-881,280000,Banco Santander Chile,SI,29-03-2021 15:10,2,1,15
APP-18-883,100000,Banco Santander Chile,SI,29-03-2021 16:40,2,1,16
APP-18-885,214000,Banco Santander Chile,SI,29-03-2021 17:31,2,1,17
APP-18-888,100000,Banco de cr?dito e inversiones (BCI),NO,29-03-2021 18:40,2,1,18
APP-18-893,200000,Banco Santander Chile,SI,29-03-2021 20:02,2,1,20
APP-18-896,100000,Banco de cr?dito e inversiones (BCI),SI,29-03-2021 21:30,2,1,21
